test_type,alloy,solute,plane,T_C,gamma_Jm2_mean,gamma_Jm2_std,gamma_Jm2_min,gamma_Jm2_max,ads_monolayers_mean,ads_monolayers_std,ads_monolayers_min,ads_monolayers_max,ads_first2_monolayers_mean,ads_first2_monolayers_std,ads_first2_monolayers_min,ads_first2_monolayers_max,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_min,acceptance_ratio_max,delta_final_mean,delta_final_std,delta_final_min,delta_final_max,term1_Jmol_mean,term1_Jmol_std,term1_Jmol_min,term1_Jmol_max,term2_Jmol_mean,term2_Jmol_std,term2_Jmol_min,term2_Jmol_max,term3_Jmol_mean,term3_Jmol_std,term3_Jmol_min,term3_Jmol_max,term4_Jmol_mean,term4_Jmol_std,term4_Jmol_min,term4_Jmol_max,term5_Jmol_mean,term5_Jmol_std,term5_Jmol_min,term5_Jmol_max,Eel_Jmol_mean,Eel_Jmol_std,Eel_Jmol_min,Eel_Jmol_max,total_Jmol_mean,total_Jmol_std,total_Jmol_min,total_Jmol_max
L,Fe-1.15Cu_wt,CU,100,400.0,1.907075416005955,0.0,1.9070754160059549,1.9070754160059549,0.9847177046655439,0.0,0.984717704665544,0.984717704665544,0.9847221189730198,0.0,0.9847221189730196,0.9847221189730196,0.866015,0.0,0.866015,0.866015,0.2,0.0,0.2,0.2,68978.56822890704,0.0,68978.56822890704,68978.56822890704,25388.35236960633,0.0,25388.35236960633,25388.35236960633,-23.895657110298963,0.0,-23.895657110298963,-23.895657110298963,-0.0041115884815793,0.0,-0.0041115884815793,-0.0041115884815793,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,94343.0208298146,0.0,94343.0208298146,94343.0208298146
L,Fe-1.15Cu_wt,CU,100,425.0,1.9258552415403778,0.0,1.9258552415403776,1.9258552415403776,0.982569267165544,0.0,0.982569267165544,0.982569267165544,0.9825736814730195,0.0,0.9825736814730196,0.9825736814730196,0.8687099999999999,0.0,0.86871,0.86871,0.2,0.0,0.2,0.2,69098.847248586,0.0,69098.847248586,69098.847248586,26208.807847533997,0.0,26208.807847533997,26208.807847533997,-35.58736550089009,0.0,-35.58736550089009,-35.58736550089009,-0.0089316166096397,0.0,-0.0089316166096397,-0.0089316166096397,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,95272.0587990025,0.0,95272.0587990025,95272.0587990025
L,Fe-1.15Cu_wt,CU,100,450.0,1.9444537004011866,0.0,1.9444537004011868,1.9444537004011868,0.979815360915544,0.0,0.979815360915544,0.979815360915544,0.9798197752230194,0.0,0.9798197752230196,0.9798197752230196,0.8705700000000001,0.0,0.87057,0.87057,0.2,0.0,0.2,0.2,69253.49170245891,0.0,69253.49170245891,69253.49170245891,26989.940815454676,0.0,26989.940815454676,26989.940815454676,-51.28901590263737,0.0,-51.28901590263737,-51.28901590263737,-0.0189431642265901,0.0,-0.0189431642265901,-0.0189431642265901,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,96192.12455884671,0.0,96192.12455884671,96192.12455884671
L,Fe-1.15Cu_wt,CU,100,475.0,1.962828435486901,0.0,1.9628284354869008,1.9628284354869008,0.9763060047062252,0.0,0.9763060047062252,0.9763060047062252,0.9763096308295957,0.0,0.9763096308295957,0.9763096308295957,0.871965,0.0,0.871965,0.871965,0.2,0.0,0.2,0.2,69449.5666014033,0.0,69449.5666014033,69449.5666014033,27723.49212761004,0.0,27723.49212761004,27723.49212761004,-71.90135850432132,0.0,-71.90135850432132,-71.90135850432132,-0.034666972038801,0.0,-0.034666972038801,-0.034666972038801,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,97101.12270353697,0.0,97101.12270353697,97101.12270353697
L,Fe-1.15Cu_wt,CU,100,500.0,1.980932692173684,0.0,1.980932692173684,1.980932692173684,0.9719825001044912,0.0,0.9719825001044912,0.9719825001044912,0.971993757932774,0.0,0.971993757932774,0.971993757932774,0.8735199999999999,0.0,0.87352,0.87352,0.2,0.0,0.2,0.2,69691.43647352196,0.0,69691.43647352196,69691.43647352196,28403.77620811449,0.0,28403.77620811449,28403.77620811449,-98.40845815166072,0.0,-98.40845815166072,-98.40845815166072,-0.0639416526501128,0.0,-0.0639416526501128,-0.0639416526501128,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,97996.74028183211,0.0,97996.74028183211,97996.74028183211
L,Fe-1.15Cu_wt,CU,100,525.0,1.9987159163511268,0.0,1.9987159163511268,1.9987159163511268,0.966731229780371,0.0,0.966731229780371,0.966731229780371,0.9666972426626181,0.0,0.966697242662618,0.966697242662618,0.875615,0.0,0.875615,0.875615,0.2,0.0,0.2,0.2,69987.6213424828,0.0,69987.6213424828,69987.6213424828,29020.815813573623,0.0,29020.815813573623,29020.815813573623,-131.85109192271975,0.0,-131.85109192271975,-131.85109192271975,-0.10968224345583262,0.0,-0.1096822434558326,-0.1096822434558326,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,98876.47638189024,0.0,98876.47638189024,98876.47638189024
L,Fe-1.15Cu_wt,CU,100,550.0,2.016124518571372,0.0,2.016124518571372,2.016124518571372,0.9604391857715397,0.0,0.9604391857715396,0.9604391857715396,0.9604416453862112,0.0,0.9604416453862112,0.9604416453862112,0.8774650000000002,0.0,0.877465,0.877465,0.2,0.0,0.2,0.2,70337.65427514674,0.0,70337.65427514674,70337.65427514674,29573.543212970813,0.0,29573.54321297081,29573.54321297081,-173.33472140255338,0.0,-173.33472140255338,-173.33472140255338,-0.1828329892079596,0.0,-0.1828329892079596,-0.1828329892079596,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,99737.67993372578,0.0,99737.67993372578,99737.67993372578
L,Fe-1.15Cu_wt,CU,100,575.0,2.033102776840563,0.0,2.033102776840563,2.033102776840563,0.9531524644584939,0.0,0.953152464458494,0.953152464458494,0.9531463726733003,0.0,0.9531463726733004,0.9531463726733004,0.8793299999999998,0.0,0.87933,0.87933,0.2,0.0,0.2,0.2,70746.60738766949,0.0,70746.60738766949,70746.60738766949,30055.271624082223,0.0,30055.27162408222,30055.27162408222,-223.98403223533143,0.0,-223.98403223533143,-223.98403223533143,-0.3006092137325233,0.0,-0.3006092137325233,-0.3006092137325233,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,100577.59437030264,0.0,100577.59437030264,100577.59437030264
L,Fe-1.15Cu_wt,CU,100,600.0,2.0495937041335104,0.0,2.0495937041335104,2.0495937041335104,0.9446903969505532,0.0,0.9446903969505532,0.9446903969505532,0.9447064624846229,0.0,0.944706462484623,0.944706462484623,0.88141,0.0,0.88141,0.88141,0.2,0.0,0.2,0.2,71219.51038005087,0.0,71219.51038005087,71219.51038005087,30459.293305391806,0.0,30459.29330539181,30459.29330539181,-284.92830278359406,0.0,-284.92830278359406,-284.92830278359406,-0.4748391743202056,0.0,-0.4748391743202056,-0.4748391743202056,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,101393.40054348476,0.0,101393.40054348476,101393.40054348476
L,Fe-1.15Cu_wt,CU,100,625.0,2.065539963384367,0.0,2.065539963384367,2.065539963384367,0.9352394146569868,0.0,0.9352394146569868,0.9352394146569868,0.9352333217707516,0.0,0.9352333217707516,0.9352333217707516,0.881635,0.0,0.881635,0.881635,0.2,0.0,0.2,0.2,71750.38399284863,0.0,71750.38399284863,71750.38399284863,30789.960450665083,0.0,30789.96045066508,30789.96045066508,-357.3557825678324,0.0,-357.3557825678324,-357.3557825678324,-0.7266723212375745,0.0,-0.7266723212375745,-0.7266723212375745,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,102182.26198862464,0.0,102182.26198862464,102182.26198862464
