alloy,solute,plane,T_C,T_K,xB_bulk,L,seed,A_scale,omega_scale,omega_Jmol,omega_source,include_elastic,step,delta,accepted_total,proposed_total,acc_total,ads_total,ads_first2,term1_Jmol,term2_Jmol,term3_Jmol,term4_Jmol,term5_Jmol,Eel_Jmol,total_Jmol,yB_L1,yB_L2,yB_L3,yB_L4
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,0,1.5,0,0,0.0,1.5696386657649284,1.3797591105099523,52283.62721099603,39999.36045381767,-80.41038487729455,-96.45973534526938,-194.7463582846497,0.0,91911.37118630648,0.9,0.5,0.2,0.010120444745023863
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,1000,1.5,664,1000,0.664,1.292717902351353,1.2868878395780037,48570.585790032725,37046.04849313437,-89.34383442223502,-53.03673274230405,-194.83944399748898,0.0,85279.41427200506,0.999999999999,0.3071287290690513,1e-12,0.026070952262397327
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,2000,0.2,1356,2000,0.678,0.5682991603389758,0.5885400498270235,63096.71156003872,14792.292525259998,-54.394477025585985,1.0675112896337051,-65.41287809991333,0.0,77770.26424146284,0.6087809393160711,1e-12,1e-12,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,3000,0.2,2232,3000,0.744,1.4753168935270726,1.253685506154436,53183.33444668726,36865.9915441102,-78.2457203115057,-77.22704466185071,-173.92257940155793,0.0,89719.93064642255,0.8757689954493206,0.39815740019516305,0.2418722768616844,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,4000,0.2,3112,4000,0.778,0.5779568385138665,0.5506873598307147,71753.77449929851,10458.41851153938,-33.56588229496566,-13.536602867315795,-30.889577100011554,0.0,82134.2009485756,0.3756280611850425,0.19530018813571998,0.04751036817219953,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,5000,0.2,4013,5000,0.8026,0.693677443374075,0.30236039740185083,82313.31082130848,11117.614724470173,-8.16000224793702,-20.378273171533056,-28.763465688696463,0.0,93373.62380467048,0.09123758112503744,0.2313637057668611,0.3189952158673523,0.0925627195949196
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,6000,0.2,4899,6000,0.8165,1.6035891814277212,0.6891124314942492,63765.385506952334,35264.41609357256,-52.78567058107849,-58.71382790888241,-139.88362020145271,0.0,98778.41848183348,0.5907721462244646,0.11858117475983229,0.47048339539166395,0.46423424403185587
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,7000,0.2,5797,7000,0.8281428571428572,0.8822073699775649,0.8333046252267984,56751.5262256181,22085.223283427713,-69.6607740074378,-8.720469297024518,-109.39009214626653,0.0,78648.97817359508,0.7796701003831452,0.07387541433370085,1e-12,0.0691436342398142
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,8000,0.2,6711,8000,0.838875,1.6528725124857937,0.7390056613033466,65916.60122308378,43338.2189372736,-47.60991979310118,-55.35670977208076,-214.06662685729782,0.0,108937.7869039349,0.5328353910898607,0.2264111597035336,0.934107740671495,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,9000,0.2,7598,9000,0.8442222222222222,1.3460915026495914,0.3663323921396391,73697.59565491581,37846.38757636835,-28.889115663692778,-1.111705269077852,-197.10550450363635,0.0,111316.87690584775,0.3232768769342193,0.06329640469546752,1e-12,0.999999999999
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,10000,0.2,8477,10000,0.8477,0.5205761195645636,0.4350289990083855,71934.63946737078,8618.527370750695,-33.130727422305554,-6.018218122257579,-25.575362060831008,0.0,80488.44253051608,0.370756987917469,0.0845129005809642,0.07519147251929795,0.03059653752692798
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,11000,0.2,9379,11000,0.8526363636363636,1.8580533902688903,1.285166164965029,52112.70282160526,45435.95880161015,-80.82162306063431,-105.56002157044063,-211.14181105643098,0.0,97151.1381675279,0.9046033526161075,0.4008037018389693,0.4397350875738335,0.1533930272200754
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,12000,0.2,10274,12000,0.8561666666666666,1.095098095370144,0.7255744190214886,59434.8513704911,24254.519347735255,-63.20478629368534,-9.774227946261572,-104.18850354977332,0.0,83512.20320043665,0.7074025213118079,0.03841278719972829,0.28448470152264066,0.10527986431606248
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,13000,0.2,11162,13000,0.8586153846153847,1.2676613703717188,1.156035377066185,61675.256141252656,29464.29882248776,-57.814449717625884,-71.59416634765013,-125.84270170586967,0.0,90884.30364596927,0.6470637177075675,0.5292125488486653,0.13186688279458156,1e-12
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,14000,0.2,12049,14000,0.8606428571428572,1.1278381129365744,0.6894230235918059,61266.36930948468,23768.443833754147,-58.79821732672573,-15.252853394880223,-94.42306720265218,0.0,84866.33900531458,0.6580758984350801,0.051588014646773504,0.22178468996478587,0.23687128887003045
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,15000,0.2,12947,15000,0.8631333333333333,0.6199046841005564,0.5568264937869406,78243.93092970426,11064.210512600717,-17.950789858221796,-11.922115545768843,-32.071788374615096,0.0,89246.19674852639,0.20083452417523848,0.37623285910174986,1e-12,0.08331907980266351
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,16000,0.2,13819,16000,0.8636875,0.764882125268037,0.14756315469162193,83958.3659079937,13458.423568785845,-4.202056469961458,-20.61878016381402,-40.73571418479568,0.0,97351.23292596098,0.04693279428961404,0.12087124989205561,0.2207535093088127,0.4168063507576501
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,17000,0.2,14714,17000,0.8655294117647059,1.3359305931684502,0.3191605310869591,81515.18446155122,28881.14726543646,-10.080266731151061,-57.49291889248809,-117.49648409152375,0.0,110211.26205727253,0.11273279944506917,0.22666862113193764,0.3314532126440749,0.705557738927464
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,18000,0.2,15608,18000,0.8671111111111112,1.0748302884343301,0.7041206385543954,73483.41424567244,20528.46667714721,-29.404428744268,-47.985413507042345,-65.48972323316171,0.0,93869.00135733518,0.32904523190144386,0.39531629614299935,0.3374635863044859,0.05348695306549655
Fe-1.15Cu_wt,CU,110,550.0,823.15,0.010120444745023863,4,1,0.0,1.0,45.59003049423073,CALPHAD_LSQ,False,19000,0.2,16501,19000,0.8684736842105263,0.7160144390836345,0.7033537864603381,83217.99327414333,16933.857279890002,-5.983367481364363,-5.456502133337455,-76.94428179458104,0.0,100063.46640262404,0.0668725835325493,0.6567220924178365,1e-12,0.03290154211234417
