alloy,solute,plane,T_C,T_K,xB_bulk,L,seed,A_scale,omega_scale,omega_Jmol,omega_source,include_elastic,step,delta,accepted_total,proposed_total,acc_total,ads_total,ads_first2,term1_Jmol,term2_Jmol,term3_Jmol,term4_Jmol,term5_Jmol,Eel_Jmol,total_Jmol,yB_L1,yB_L2,yB_L3,yB_L4
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,0,1.5,0,0,0.0,1.5644291790991862,1.3762861193994576,113849.39773962638,38282.20778215787,-137.99060594786272,-164.9929050014004,-333.66525968969125,0.0,151494.9567511453,0.9,0.5,0.2,0.011856940300271224
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,1000,1.5,589,1000,0.589,0.2110706467131391,-0.023713880598542448,85701.00000003127,4239.974667922626,-0.02207525274302466,1.7926379270102186,-19.23637643922041,0.0,89923.50885418894,1e-12,1e-12,0.258498407911224,1e-12
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,2000,0.2,1187,2000,0.5935,-0.047427761197084896,-0.023713880598542448,85701.00000003127,326.5195125567142,-0.02207525274302466,-0.13245151551601525,-0.17660202068802033,0.0,86027.18838379905,1e-12,1e-12,1e-12,1e-12
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,3000,0.2,2033,3000,0.6776666666666666,0.46210401286882363,0.1766789738343403,91968.4864119822,8089.011111623943,-30.741972683783647,1.764841096101549,-39.00536854463817,0.0,99989.51502347382,0.20039285443388277,1e-12,1e-12,0.3091389196340258
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,4000,0.2,2884,4000,0.721,0.39398590967683783,-0.0020526487551128358,85701.00000003127,6530.205181070443,-0.02207525274302466,-8.244266666887585,-33.269702718447064,0.0,92189.66913646364,1e-12,0.021661231844429613,0.09308653032286361,0.3266659087096295
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,5000,0.2,3735,5000,0.747,0.6496902392910646,0.31858737163484263,85701.00000003127,11218.92872970112,-0.02207525274302466,-32.121472186142526,-58.953091382241986,0.0,96828.83209091127,1e-12,0.34230125223438507,0.28597597406082986,0.06884077419593468
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,6000,0.2,4604,6000,0.7673333333333333,0.541968327589632,0.08971808958089013,85701.00000003127,10458.919469877399,-0.02207525274302466,-14.517869471509032,-66.30075313816185,0.0,96079.07877204625,1e-12,0.11343197018043258,0.45978844182009804,0.016175676789186272
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,7000,0.2,5460,7000,0.78,0.5713409309650302,0.4307599462403004,85944.33169503818,10228.361692351895,-1.2147582872175617,-14.24104019169045,-63.00218614473157,0.0,96094.23540276646,0.007780141788534889,0.44669368505230794,0.11073688003247842,0.05355798529279396
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,8000,0.2,6309,8000,0.788625,-0.009463909628553788,0.012962540289919758,85812.17425661508,251.44384101958363,-0.5669925504837039,0.08667136074461744,-0.24288925509939718,0.0,86062.89488718983,0.0035546190543100597,0.03312180183615215,0.0012874306810689018,1e-12
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,9000,0.2,7164,9000,0.796,0.05402621099646965,-0.023713880598542448,85701.00000003127,1150.8820413613257,-0.02207525274302466,0.24532251479830688,-2.6534794424843846,0.0,86849.45180921217,1e-12,1e-12,1e-12,0.10145397219455454
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,10000,0.2,8023,10000,0.8023,0.9810126669397765,0.41147772074423655,89780.71053812455,16856.50983699578,-20.018654589490087,-69.22940761360829,-93.09855856905531,0.0,106454.8737543482,0.13044221977662132,0.3047493815681577,0.42780609440477496,0.16544273239130736
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,11000,0.2,8876,11000,0.8069090909090909,-0.047427761197084896,-0.023713880598542448,85701.00000003127,326.5195125567142,-0.02207525274302466,-0.13245151551601525,-0.17660202068802033,0.0,86027.18838379905,1e-12,1e-12,1e-12,1e-12
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,12000,0.2,9737,12000,0.8114166666666667,0.4361122600736059,0.2595656941211828,90604.9271750625,5559.952267613862,-24.05852781512819,-5.59608695424444,-20.057116955840364,0.0,96115.16771095115,0.15679522857327774,0.12648434614844753,0.016057820805633748,0.18420262574733176
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,13000,0.2,10592,13000,0.8147692307692308,0.5696197981011015,0.2082425935341095,92323.55386766877,8288.471860591157,-32.482325211551895,-9.676666546800405,-35.87505318403941,0.0,100533.99168331755,0.2117455684701792,0.020210905664472784,0.12578558705598034,0.2593054981115541
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,14000,0.2,11441,14000,0.8172142857142857,0.832192821563351,0.613267238975076,85701.00000003127,17433.65450906181,-0.02207525274302466,-26.564246454695503,-130.5218635463088,0.0,102977.54632383934,1e-12,0.6369811195746183,0.14044483538935146,0.10219462779946599
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,15000,0.2,12312,15000,0.8208,0.3143625880955869,0.04134506073717347,87735.78328584989,3938.0700869569473,-9.995504746830454,-4.714784905068613,-13.263819115724198,0.0,91645.8792640392,0.06505894133671591,1e-12,0.17995072758272848,0.11678068037622741
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,16000,0.2,13167,16000,0.8229375,0.17721876211407273,0.009597377891810624,85701.00000003127,2785.918895879284,-0.02207525274302466,0.8280801302650285,-10.34898211350859,0.0,88477.37591867456,1e-12,0.03331125849135307,1e-12,0.19133526482180455
Fe-3.8W_wt,W,110,550.0,823.15,0.011856940300271224,4,2,0.0,1.0,78.5109838156311,CALPHAD_LSQ,False,17000,0.2,14011,17000,0.8241764705882353,0.46695721385846184,0.11488933756495603,87748.55169271967,7920.870758391882,-10.058088711695511,0.5515962187885532,-43.71838428970846,0.0,95616.19757432895,0.06546719072586796,0.07313602743963052,1e-12,0.37578175689304827
