alloy,solute,plane,T_C,T_K,xB_bulk,L,seed,A_scale,omega_scale,omega_Jmol,omega_source,include_elastic,step,delta,accepted_total,proposed_total,acc_total,ads_total,ads_first2,term1_Jmol,term2_Jmol,term3_Jmol,term4_Jmol,term5_Jmol,Eel_Jmol,total_Jmol,yB_L1,yB_L2,yB_L3,yB_L4
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,0,1.5,0,0,0.0,1.4887350578323646,1.325823371888243,100632.97468978945,26042.92428256125,-637.9888777562988,-725.9836342955778,-1506.5656346193687,0.0,123805.36082567944,0.9,0.5,0.2,0.03708831405587855
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,1000,1.5,644,1000,0.644,0.24412959749904473,-0.0741766281097571,85701.0000000166,5197.846625009944,-1.051478228540583,38.19972434832106,-199.40679059207278,0.0,90736.58808055425,1e-12,1e-12,0.39248285371955893,1e-12
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,2000,0.2,1290,2000,0.645,-0.0578094680320986,0.016367160077658503,85701.0000000166,973.5152003865472,-1.051478228540583,3.9590356989194673,-10.677451129709514,0.0,86666.74530674382,1e-12,0.0905437881884156,1e-12,1e-12
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,3000,0.2,2186,3000,0.7286666666666667,0.9054523983959422,0.37304663517574244,93120.91827564339,11456.816779788323,-317.55505859043006,-70.09647988189602,-479.70653364157704,0.0,103710.37698331781,0.44722326328649953,1e-12,0.2682077367619238,0.338374654570033
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,4000,0.2,3080,4000,0.77,0.35951225144182675,0.04355661241017011,87654.32196400598,3213.397066735259,-84.37226051167599,-18.71526904767716,-94.91935946213019,0.0,90669.71214171975,0.11773324052092721,1e-12,0.24139964077675216,0.1487326263666616
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,5000,0.2,3977,5000,0.7954,0.7171387406698116,0.36953621418403226,89337.58614586301,8420.954280766888,-156.17347454966634,-19.741555496739057,-332.7556091367589,0.0,97249.86978744673,0.219189196289942,0.22452364600584737,1e-12,0.4217791545965365
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,6000,0.2,4872,6000,0.812,0.8904669773074632,0.10718774665828845,85701.0000000166,12761.109796034698,-1.051478228540583,-295.38430086133263,-626.0738570884897,0.0,97539.60015987293,1e-12,0.18136437476904557,0.6294271781856913,0.2280286805752405
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,7000,0.2,5770,7000,0.8242857142857143,0.19842332305884514,0.27259995116860225,88099.36308822021,2490.3643013267865,-103.35590749937602,-19.87094323516851,-63.55132512541366,0.0,90402.94921368702,0.144557355891729,0.20221922338863035,1e-12,1e-12
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,8000,0.2,6661,8000,0.832625,0.3820064165635989,0.28451048834442416,85701.0000000166,5250.379982617997,-1.051478228540583,44.101259331784725,-190.01660963559183,0.0,90804.41315410224,1e-12,0.35868711645518125,1e-12,0.17167255632993186
Fe-6.207Mo_wt,MO,110,550.0,823.15,0.03708831405587855,4,2,0.0,1.0,382.2047720910872,CALPHAD_LSQ,False,9000,0.2,7557,9000,0.8396666666666667,0.6096322016279928,0.20768603198491298,89723.76887962307,5908.199888954954,-172.64646163235463,-46.283261819921165,-221.05847725099565,0.0,95191.98056787477,0.24246571983118032,0.03939694026548976,0.134069336753222,0.34205346100161493
